Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,TIPO_MOV,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,72.33,,0.00,,167,,,,591646.85,,,,12078.97,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/02/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,56.32,,0.00,,4,,,,11034.32,,,,225.28,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/02/2024,2647981,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,30.44,,0.00,,100,,,,149078,,,,3043.55,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/02/2024,2651328,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,30.53,,0.00,,1406,,,,2102487.57,,,,42924.07,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,34.24,,0.00,,125,,,,209652.5,,,,4280.23,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/01/2024,2647661,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,34.67,,0.00,,406,,,,689527.12,,,,14077.28,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/02/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,79.16,,0.00,,4,,,,15508.88,,,,316.63,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,61.66,,0.00,,29,,,,87592.36,,,,1788.27,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/01/2024,2647981,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,33.34,,0.00,,816,,,,1332614.44,,,,27206.46,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,12/02/2024,2650288,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,PICK,0.00,1.90,,0.00,,30,,,,10473,,,,57.02,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,12/02/2024,2650288,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,PICK,0.00,1.88,,0.00,,121,,,,41673.12,,,,226.88,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,12/02/2024,2650289,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,CROSS,1.90,0.00,,0.00,55,,,,19200.5,,,,104.53,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,12/02/2024,2650289,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,CROSS,1.86,0.00,,0.00,148,,,,50501.18,,,,274.94,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,27/01/2024,2644434,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,PICK,0.00,1.90,,0.00,,24,,,,8378.4,,,,45.61,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,23/01/2024,2645434,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,15.52,,0.00,,478,,,,1212417.49,,,,7417.16,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,23/01/2024,2645436,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,CROSS,24.57,0.00,,0.00,195,,,,783167.58,,,,4791.15,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,26/01/2024,2645434,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,10.21,,0.00,,1860,,,,3104373.79,,,,18991.50,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,26/01/2024,2645436,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,CROSS,11.64,0.00,,0.00,120,,,,228224.63,,,,1396.20,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,16/02/2024,2650382,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,10.01,,0.00,,574,,,,939177.04,,,,5745.57,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,17/02/2024,2650384,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,CROSS,10.63,0.00,,0.00,103,,,,178981.97,,,,1094.95,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,15/02/2024,2650382,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,PICK,0.00,10.63,,0.00,,454,,,,789104.33,,,,4827.47,,
