Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503266,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,763.71,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503089,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,540.91,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503214,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,1250.15,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503488,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,1007.75,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503524,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,763.71,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503319,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,763.71,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,22/03/2022,2503577,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,1441.25,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,21/03/2022,2502911,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,763.71,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,21/03/2022,2503051,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,540.91,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,21/03/2022,2502991,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,763.71,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,30/03/2022,2504853,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,540.91,,,,5.28
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,30/03/2022,2503274,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,2,,,,1304.62,,,,10.56
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,30/03/2022,2505362,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,2,,,,1116.99,,,,10.56
ELECTROANDINA INDUSTRIAL S.A.C.,2051057945,ELECTROHOGAR,LINEA BLANCA,30/03/2022,2503458,INDURAMA,BT - OTROS,TERCERAS,CD ALDEA6,BT,VERDE,0.00,0.00,0.00,5.28,,,,1,,,,1667.1,,,,5.28
