Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,7/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,56.79,0.00,0.00,,182,,,,506251.19,,,,10335.55,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,45.69,0.00,0.00,,118,,,,264085.29,,,,5391.53,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/12/2023,2636936,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,19.78,0.00,0.00,,225,,,,217968.75,,,,4450.02,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.47,0.00,0.00,,114,,,,209250.51,,,,4272.03,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,30.65,0.00,0.00,,811,,,,1217486.56,,,,24856.02,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/11/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.63,0.00,0.00,,140,,,,182607.6,,,,3728.09,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/11/2023,2633491,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,74.34,0.00,0.00,,117,,,,426009.39,,,,8697.34,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/11/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,39.00,0.00,0.00,,267,,,,510003.29,,,,10412.15,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/11/2023,2634024,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,71.00,0.00,0.00,,99,,,,344277.34,,,,7028.71,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,74.27,0.00,0.00,,102,,,,371048.08,,,,7575.26,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/11/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,45.66,0.00,0.00,,47,,,,105117.38,,,,2146.06,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/12/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,76.92,0.00,0.00,,14,,,,52749.06,,,,1076.92,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,48.75,0.00,0.00,,146,,,,348636.92,,,,7117.72,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/12/2023,2634024,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,63.93,0.00,0.00,,6,,,,18788.76,,,,383.59,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/12/2023,2636936,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.60,0.00,0.00,,74,,,,136274.04,,,,2782.15,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/11/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,31.00,0.00,0.00,,237,,,,359915.19,,,,7347.97,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,13/12/2023,2635983,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.00,1.78,0.00,0.00,,39,,,,12762.36,,,,69.48,,
