Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/01/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,29.26,0.00,0.00,,131,,,,187759.47,,,,3833.27,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/01/2023,2557870,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,130.92,0.00,0.00,,5,,,,32064.15,,,,654.62,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/01/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,54.85,0.00,0.00,,84,,,,225679.78,,,,4607.44,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/01/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,117.53,0.00,0.00,,5,,,,28784.5,,,,587.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/01/2023,2569398,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,65.23,0.00,0.00,,102,,,,325913.94,,,,6653.81,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/01/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.35,0.00,0.00,,310,,,,567140.46,,,,11578.65,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/01/2023,2557870,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,130.92,0.00,0.00,,1,,,,6412.83,,,,130.92,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/01/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,93.69,0.00,0.00,,11,,,,50481.7,,,,1030.63,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/01/2023,2567268,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,117.53,0.00,0.00,,3,,,,17270.7,,,,352.60,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/01/2023,2567268,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,86.67,0.00,0.00,,62,,,,263206.53,,,,5373.59,,
