Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,TIPO_MOV,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,,0.00,36.72,0.00,0.00,,299,,,,537807.3,,,,10979.79,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,,0.00,31.38,0.00,0.00,,735,,,,1129617.78,,,,23062.11,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/01/2024,2643500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,,0.00,62.35,0.00,0.00,,348,,,,1062790.73,,,,21697.78,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,17/01/2024,2644434,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,,0.00,1.58,0.00,0.00,,20,,,,5816,,,,31.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,17/01/2024,2644434,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,,0.00,2.04,0.00,0.00,,106,,,,39628.6,,,,215.75,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,17/01/2024,2644435,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,CROSS,1.58,0.00,0.00,0.00,10,,,,2908,,,,15.83,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,17/01/2024,2644435,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,CROSS,1.78,0.00,0.00,0.00,10,,,,3272.4,,,,17.82,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,19/01/2024,2644386,LG,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,PICK,0.00,1.36,0.00,0.00,,25,,,,5574.5,,,,34.10,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,19/01/2024,2644386,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,PICK,0.00,6.61,0.00,0.00,,15,,,,16196.85,,,,99.09,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,19/01/2024,2644387,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,NORMAL,CROSS,2.73,0.00,0.00,0.00,5,,,,2233.55,,,,13.66,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,19/01/2024,2644387,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,CROSS,4.18,0.00,0.00,0.00,36,,,,24609.6,,,,150.55,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,11/01/2024,2644386,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,NORMAL,PICK,0.00,2.73,0.00,0.00,,3,,,,1340.13,,,,8.20,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,11/01/2024,2644386,LG,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,PICK,0.00,1.36,0.00,0.00,,40,,,,8919.2,,,,54.56,,
