Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/02/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.27,,0.00,,40,,,,104376.8,,,,2130.94,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/02/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,78.19,,0.00,,45,,,,172349.33,,,,3518.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,56.20,,0.00,,136,,,,374365.24,,,,7642.98,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/02/2023,2572429,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,28.91,,0.00,,7,,,,9913.4,,,,202.39,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,39.02,,0.00,,574,,,,1097153.09,,,,22399.31,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/01/2023,2572429,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,35.66,,0.00,,370,,,,646226.23,,,,13193.26,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/01/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.27,,0.00,,62,,,,161784.04,,,,3302.96,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/02/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,41.77,,0.00,,199,,,,407149.21,,,,8312.30,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/01/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.27,,0.00,,9,,,,23484.78,,,,479.46,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/01/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,90.40,,0.00,,86,,,,380796.48,,,,7774.28,,
