Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/06/2023,2599455,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,33,,,,61500.78,,,,1255.59,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/06/2023,2600522,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,41.09,0.00,0.00,,471,,,,948033.51,,,,19354.91,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/06/2023,2599455,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,34.24,0.00,0.00,,310,,,,519938.2,,,,10614.98,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,2,,,,3727.32,,,,76.10,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/06/2023,2597970,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,2,,,,3727.32,,,,76.10,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/06/2023,2600522,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,79.24,0.00,0.00,,143,,,,555052.03,,,,11331.86,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/06/2023,2602500,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,31.02,0.00,0.00,,491,,,,746044.86,,,,15231.14,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/06/2023,2600522,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,40.10,0.00,0.00,,135,,,,265167.25,,,,5413.61,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,20/07/2023,2606368,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,1.93,0.00,0.00,0.00,100,,,,35420.44,,,,192.84,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,20/07/2023,2606367,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,1.84,0.00,0.00,,20,,,,6763.4,,,,36.82,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,22/06/2023,2597729,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,28.90,0.00,0.00,,145,,,,685085.85,,,,4191.12,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/07/2023,5460099520,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,27.63,0.00,,,2,,,,9033,,,,55.26,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/07/2023,5460099521,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,9.46,0.00,,,1,,,,1547,,,,9.46,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,14/07/2023,5460099650,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,18.37,0.00,,,4,,,,12008,,,,73.46,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,14/07/2023,5460099649,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,31.03,0.00,,,1,,,,5072,,,,31.03,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/07/2023,2597729,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,8.21,0.00,0.00,,394,,,,528813.68,,,,3235.10,,
