Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/05/2023,2584441,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,48.71,0.00,0.00,,11,,,,26242.59,,,,535.76,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/05/2023,2588097,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.27,0.00,0.00,,56,,,,146127.52,,,,2983.32,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/05/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,49.61,0.00,0.00,,1100,,,,2672794.35,,,,54567.37,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/05/2023,2588097,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.27,0.00,0.00,,14,,,,36531.88,,,,745.83,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/05/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.03,0.00,0.00,,529,,,,959442.04,,,,19587.82,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/05/2023,2590227,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,24.35,0.00,0.00,,43,,,,51276.21,,,,1046.85,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,24.35,0.00,0.00,,41,,,,48891.27,,,,998.16,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/06/2023,2599455,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,99.95,0.00,0.00,,28,,,,137084.4,,,,2798.69,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/06/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,73.83,0.00,0.00,,33,,,,119334.6,,,,2436.32,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,35.01,0.00,0.00,,301,,,,516140.97,,,,10537.46,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/06/2023,2597970,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,131,,,,244139.46,,,,4984.31,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,01/06/2023,5460097441,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,62.80,0.00,,,4,,,,12305,,,,251.22,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,06/06/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,29.95,0.00,0.00,,209,,,,306576.16,,,,6259.01,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,06/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,44.81,0.00,0.00,,382,,,,838520.65,,,,17119.11,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/05/2023,2584441,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,33.48,0.00,0.00,,22,,,,36078.46,,,,736.57,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/05/2023,5460096992,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,53.24,0.00,,,1,,,,2608,,,,53.24,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/05/2023,2594546,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,57.27,0.00,0.00,,185,,,,518913,,,,10594.05,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/06/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.63,0.00,0.00,,150,,,,195651,,,,3994.38,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,29.20,0.00,0.00,,359,,,,513376.54,,,,10481.02,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/06/2023,5460098334,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,59.08,0.00,,,1,,,,2894,,,,59.08,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,08/06/2023,2596484,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.77,0.00,0.00,,929,,,,1764074.1,,,,36015.07,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/05/2023,2592778,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,53.08,0.00,0.00,,67,,,,174194.29,,,,3556.32,,
