Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,50.71,0.00,0.00,,274,,,,680602,,,,13895.07,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/03/2023,2578575,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,59.36,0.00,0.00,,75,,,,218079.75,,,,4452.28,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,47.99,0.00,0.00,,489,,,,1149476.78,,,,23467.55,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.63,0.00,0.00,,188,,,,245215.92,,,,5006.29,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/03/2023,5460093826,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,118.98,0.00,,,1,,,,5828,,,,118.98,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/03/2023,2572429,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,118.63,0.00,0.00,,5,,,,29054.04,,,,593.16,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/03/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,50.23,0.00,0.00,,17,,,,41824.59,,,,853.88,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/03/2023,2578575,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,90.09,0.00,0.00,,15,,,,66192.75,,,,1351.38,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/03/2023,5460093696,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,92.95,0.00,,,1,,,,4553,,,,92.95,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,57.85,0.00,0.00,,194,,,,549755.47,,,,11223.73,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/03/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,84.49,0.00,0.00,,28,,,,115870.72,,,,2365.60,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/03/2023,2578575,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,90.09,0.00,0.00,,12,,,,52954.2,,,,1081.11,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,51.98,0.00,0.00,,114,,,,290240.06,,,,5925.50,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/02/2023,2572429,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,130.79,0.00,0.00,,15,,,,96091.05,,,,1961.78,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/03/2023,2568833,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,28.91,0.00,0.00,,69,,,,97717.8,,,,1994.99,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,29.82,0.00,0.00,,600,,,,876386.5,,,,17892.18,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,96.36,0.00,0.00,,36,,,,169920.6,,,,3469.07,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/02/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,32.87,0.00,0.00,,211,,,,339760.44,,,,6936.50,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/02/2023,2576573,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,127.88,0.00,0.00,,7,,,,43845.83,,,,895.15,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,132.41,0.00,0.00,,21,,,,136199.91,,,,2780.64,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/02/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,36.50,0.00,0.00,,59,,,,105481.27,,,,2153.49,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/02/2023,2576573,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,34.24,0.00,0.00,,50,,,,83861,,,,1712.09,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/02/2023,2565556,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,60.89,0.00,0.00,,38,,,,113327.78,,,,2313.68,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/02/2023,2573991,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,39.57,0.00,0.00,,38,,,,73653.12,,,,1503.69,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/02/2023,2576573,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,34.24,0.00,0.00,,298,,,,499811.56,,,,10204.08,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/02/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,99.28,0.00,0.00,,21,,,,102119.12,,,,2084.85,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,13/03/2023,2580371,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,2.05,0.00,0.00,0.00,52,,,,19559.94,,,,106.49,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,13/03/2023,2580370,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,2.04,0.00,0.00,,46,,,,17202.96,,,,93.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,28/02/2023,2574999,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,1.78,0.00,0.00,0.00,5,,,,1636.2,,,,8.91,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,28/02/2023,2574998,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,1.78,0.00,0.00,,10,,,,3272.4,,,,17.82,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,24/02/2023,2574999,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,2.18,0.00,0.00,0.00,5,,,,2000.6,,,,10.89,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,24/02/2023,2574998,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,2.18,0.00,0.00,,10,,,,4001.2,,,,21.78,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,18/03/2023,2580346,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,9.46,0.00,0.00,,346,,,,535175.5,,,,3274.02,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,15/03/2023,2580346,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,12.04,0.00,0.00,,541,,,,1065115.39,,,,6516.01,,
