Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,21/10/2022,2550175,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,55.88,0.00,0.00,,487,,,,1333021.23,,,,27214.76,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/11/2022,5460088556,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,87.30,0.00,,,3,,,,12829,,,,261.91,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,25.87,0.00,0.00,,70,,,,88693.5,,,,1810.75,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/11/2022,2550175,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,154.73,0.00,0.00,,1,,,,7578.93,,,,154.73,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/11/2022,2556321,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,39.01,0.00,0.00,,373,,,,712740.9,,,,14551.21,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,33.48,0.00,0.00,,57,,,,93476.01,,,,1908.39,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/11/2022,5460088792,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,51.00,0.00,,,1,,,,2498,,,,51.00,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,03/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.78,0.00,0.00,,26,,,,49387.41,,,,1008.29,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,32.68,0.00,0.00,,21,,,,33618.28,,,,686.35,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/11/2022,2556321,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,78.77,0.00,0.00,,309,,,,1192138.35,,,,24338.52,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,28.77,0.00,0.00,,68,,,,95817.36,,,,1956.19,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,26/10/2022,2551416,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,2.46,0.00,0.00,0.00,79,,,,35640.06,,,,194.03,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,26/10/2022,2551415,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,2.46,0.00,0.00,,51,,,,23008.14,,,,125.26,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,21/10/2022,5460088373,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,12.05,0.00,,,2,,,,3938,,,,24.09,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,21/10/2022,2550987,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,59.51,0.00,0.00,0.00,21,,,,204290.52,,,,1249.78,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,21/10/2022,2550986,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,59.51,0.00,0.00,,9,,,,87553.08,,,,535.62,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,07/11/2022,5460088556,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,22.57,0.00,,,4,,,,14755,,,,90.27,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,16/11/2022,5460088792,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,17.72,0.00,,,6,,,,17375,,,,106.29,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,16/11/2022,5460088791,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,15.49,0.00,,,3,,,,7596,,,,46.47,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549861,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,NORMAL,5.43,0.00,0.00,0.00,150,,,,133154.5,,,,814.59,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549861,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,11.89,0.00,0.00,0.00,28,,,,54437.32,,,,333.03,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549861,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,7.93,0.00,0.00,0.00,58,,,,75161.62,,,,459.81,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549860,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,5.72,0.00,0.00,,20,,,,18714.4,,,,114.49,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549860,LG,SB,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.00,11.89,0.00,0.00,,10,,,,19441.9,,,,118.94,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,21/10/2022,2549860,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,7.93,0.00,0.00,,10,,,,12958.9,,,,79.28,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,10/11/2022,2554891,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,1788,,,,98430,,,,5328.24,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,10/11/2022,2553368,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,782,,,,38578.11,,,,2330.36,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,10/11/2022,2553368,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,4073,,,,125518.47,,,,12137.54,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,10/11/2022,2553368,GARNIER,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,12,,,,373.02,,,,35.76,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,10/11/2022,2553368,L'OREAL MAQ.,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,1,,,,51.55,,,,2.98,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,25/10/2022,2551456,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,515,,,,24556.88,,,,1534.70,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,25/10/2022,2551456,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,850,,,,25639.39,,,,2533.00,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,25/10/2022,2547847,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,3,,,,117.87,,,,8.94,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,25/10/2022,2547847,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,745,,,,23517.69,,,,2220.10,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,25/10/2022,2551472,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,2.98,0.00,0.00,0.00,606,,,,20816.1,,,,1805.88,,,
