Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/09/2023,2619452,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,71.08,0.00,0.00,,481,,,,1674648.24,,,,34189.37,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/09/2023,2620740,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,66.18,0.00,0.00,,135,,,,437616.53,,,,8934.31,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/09/2023,5460101712,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,38.13,0.00,,,2,,,,3735,,,,76.25,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/09/2023,2619452,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,28.91,0.00,0.00,,1000,,,,1416200,,,,28912.93,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/09/2023,2619452,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,32.31,0.00,0.00,,863,,,,1365675.44,,,,27881.42,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/10/2023,2620566,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,50.23,0.00,0.00,,118,,,,290311.86,,,,5926.96,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/10/2023,5460101902,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,65.11,0.00,,,3,,,,9567,,,,195.32,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/10/2023,2623752,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,22.82,0.00,0.00,,453,,,,506408.7,,,,10338.76,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/10/2023,2624278,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,45.53,0.00,0.00,,542,,,,1208701.42,,,,24676.67,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/10/2023,2623752,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.90,0.00,0.00,,695,,,,1324260.68,,,,27035.91,,
