Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/12/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,31.27,,0.00,,99,,,,151627.75,,,,3095.61,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/12/2023,2638972,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.55,,0.00,,341,,,,627118.02,,,,12803.15,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,83.86,,0.00,,69,,,,283413,,,,5786.12,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/12/2023,2634024,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,30.44,,0.00,,33,,,,49195.74,,,,1004.37,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/12/2023,2636936,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,16.73,,0.00,,17,,,,13933.03,,,,284.45,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,113.35,,0.00,,5,,,,27759.12,,,,566.73,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,41.26,,0.00,,84,,,,169742.7,,,,3465.44,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,36.63,,0.00,,296,,,,531022.51,,,,10841.28,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2023,2634024,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,203.83,,0.00,,4,,,,39936.08,,,,815.33,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/12/2023,2638972,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,51.75,,0.00,,24,,,,60836.4,,,,1242.03,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,71.54,,0.00,,10,,,,35040.1,,,,715.37,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/12/2023,2640401,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.45,,0.00,,662,,,,857733.98,,,,17511.37,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/12/2023,2642000,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,40.42,,0.00,,149,,,,295024.53,,,,6023.18,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.63,,0.00,,100,,,,130434,,,,2662.92,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/12/2023,2638972,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,203.83,,0.00,,3,,,,29952.06,,,,611.50,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,,0.00,,63,,,,117410.58,,,,2397.04,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/12/2023,2636936,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,16.73,,0.00,,211,,,,172933.49,,,,3530.58,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,26/12/2023,2640401,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,33.63,,0.00,,376,,,,619376.18,,,,12645.09,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2023,2638363,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,26.63,,0.00,,18,,,,23478.12,,,,479.33,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2023,2638972,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,35.17,,0.00,,371,,,,639098.94,,,,13047.75,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2023,2635802,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,30.38,,0.00,,99,,,,147326.03,,,,3007.79,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2023,2640401,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,25.73,,0.00,,336,,,,423492.28,,,,8645.95,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,23/12/2023,2638911,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,27.45,,0.00,,220,,,,987182.93,,,,6039.25,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,26/12/2023,2638912,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,33.38,0.00,,0.00,57,,,,311004.51,,,,1902.62,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,23/12/2023,2638983,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,5.57,0.00,,0.00,141,,,,128370.87,,,,785.33,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,23/12/2023,2638982,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,5.77,,0.00,,129,,,,121680.33,,,,744.40,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,22/12/2023,2640270,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,3.23,0.00,,0.00,636,,,,30742.66,,,,2056.38,,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,22/12/2023,2640270,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,NORMAL,3.23,0.00,,0.00,1883,,,,64680.24,,,,6088.30,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2640043,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.20,0.00,,0.00,87,,,,2828.37,,,,16.99,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2640043,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,NORMAL,0.20,0.00,,0.00,703,,,,22854.53,,,,137.30,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638682,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.20,0.00,,0.00,3,,,,290.52,,,,0.59,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638682,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.20,0.00,,0.00,135,,,,4772.25,,,,26.37,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638682,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,NORMAL,0.26,0.00,,0.00,393,,,,19427.12,,,,102.34,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638675,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.00,0.20,,0.00,,5,,,,176.75,,,,0.98,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638675,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,0.20,,0.00,,50,,,,1972.5,,,,9.77,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638675,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,NORMAL,0.00,1.07,,0.00,,70,,,,3325.13,,,,75.19,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638675,ADIDAS,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,1.83,,0.00,,78,,,,3761.7,,,,143.02,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638676,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,NORMAL,0.26,0.00,,0.00,175,,,,7144.39,,,,45.57,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638676,ADIDAS,SBN,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.50,0.00,,0.00,14,,,,494.9,,,,6.99,,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638681,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.00,0.20,,0.00,,15,,,,1017.05,,,,2.93,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,22/12/2023,2638681,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,NORMAL,0.00,0.20,,0.00,,10,,,,814.7,,,,1.95,,
