Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
1010 SAC,2060266409,HOMBRE,NAVIGATA HOMBRE,08/09/2022,2542244,NAVIGATA,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,,0.99,,,,72,,,,2448,,,,71.28,,
1010 SAC,2060266409,HOMBRE,NAVIGATA HOMBRE,08/09/2022,2542245,NAVIGATA,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,1492,,,,50728,,,,358.08,,,
1010 SAC,2060266409,HOMBRE,SURF HOMBRE,02/09/2022,2540482,CLOUDBREAK,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,,0.99,,,,268,,,,8442,,,,265.32,,
1010 SAC,2060266409,HOMBRE,SURF HOMBRE,02/09/2022,2540483,CLOUDBREAK,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,736,,,,23184,,,,176.64,,,
1010 SAC,2060266409,HOMBRE,SURF HOMBRE,08/09/2022,2540483,CLOUDBREAK,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,368,,,,11040,,,,88.32,,,
1010 SAC,2060266409,HOMBRE,SURF HOMBRE,16/09/2022,2540482,CLOUDBREAK,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,,0.99,,,,268,,,,8442,,,,265.32,,
1010 SAC,2060266409,HOMBRE,SURF HOMBRE,16/09/2022,2540483,CLOUDBREAK,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,368,,,,12144,,,,88.32,,,
1010 SAC,2060266409,MUJER,CORSETERIA MARCA PROPIA,22/08/2022,2537232,MARQUIS,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,,0.99,,,,1435,,,,20090,,,,1420.65,,
1010 SAC,2060266409,MUJER,CORSETERIA MARCA PROPIA,22/08/2022,2537233,MARQUIS,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,268,,,,3752,,,,64.32,,,
1010 SAC,2060266409,MUJER,CORSETERIA MARCA PROPIA,27/08/2022,2539704,MARQUIS,RTW,PROPIAS,CD Villa El Salvador,,NORMAL,,2.53,,,,144,,,,4306,,,,364.32,,
1010 SAC,2060266409,MUJER,CORSETERIA MARCA PROPIA,27/08/2022,2539705,MARQUIS,RTW,PROPIAS,CD Villa El Salvador,,NORMAL,0.57,,,,719,,,,21498,,,,409.83,,,
1010 SAC,2060266409,MUJER,CORSETERIA MARCA PROPIA,29/08/2022,2540368,INDEX,FLT,PROPIAS,CD Villa El Salvador,,NORMAL,0.24,,,,5185,,,,29036,,,,1244.40,,,
